Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Energy,296,OpenDataSoft,Theme,,ENER,
Nepal,295,CKAN,Theme,,,Nepal
Mobilità e trasporti,295,DCAT,Theme,Transportation,TRAN,
"Culture, Patrimoine",295,OpenDataSoft,Theme,,EDUC,
Ordenamiento Territorial,293,CKAN,Theme,Planning / Cadastre,,
Internationale Themen,288,CKAN,Theme,,INTR,
Agriculture and Allied Activities ,288,CKAN,Theme,Farming,AGRI,
Government & Finance,282,DCAT,Theme,Economy,"GOVE,ECON",
Governance,280,CKAN,Theme,,GOVE,
City & Governance,280,OpenDataSoft,Theme,,REGI,
Trasporti,277,OpenDataSoft,Theme,Transportation,TRAN,
Ghana,276,CKAN,Theme,,,Ghana
Indonesia,276,CKAN,Theme,,,Indonesia
Mobility and Transport,276,OpenDataSoft,Theme,Transportation,TRAN,
Malawi,272,CKAN,Theme,,,Malawi
Energy and Environment,272,DCAT,Theme,Environment,"ENER,ENVI",
Biota,269,Geonetwork,Theme,Biota,ENVI,
Senegal,268,CKAN,Theme,,,Senegal
ClimatologyMeteorologyAtmosphere,266,Geonetwork,Theme,Climatology / Meteorology / Atmosphere,ENVI,
Soc.Demográfico,264,CKAN,Theme,Society,SOCI,
Economic Sector,263,CKAN,Theme,Economy,ECON,
Economia,263,CKAN,Theme,Economy,ECON,
Instrumentos e Projetos Territoriais,261,Geonetwork,Theme,Planning / Cadastre,,
Transparencia,260,CKAN,Theme,,GOVE,
Science and research,260,CKAN,Theme,,TECH,
Tanzania,258,CKAN,Theme,,,Tanzania
"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement",255,OpenDataSoft,Theme,Planning / Cadastre,,
Civic Infrastructure,254,CKAN,Theme,,REGI,
Vie culturelle,254,OpenDataSoft,Theme,,EDUC,
Central African Republic,253,CKAN,Theme,,,Central African Republic
BUDGET DE L'ETAT,250,OpenDataSoft,Theme,Economy,"ECON,GOVE",
"Syria, Conflict, 2013-2015",243,CKAN,Theme,,,Syria
Culture,242,OpenDataSoft,Theme,,EDUC,Culture
Burundi,241,CKAN,Theme,,,Burundi
France,240,CKAN,Theme,,,France
Zambia,239,CKAN,Theme,,,Zambia
